LC,Angle_deg,IPF_kN,IPF_loc_mm,F_plateau_kN,d_dens_mm,CFE,oscillation_norm,k0_kN_per_mm,d_max_mm
LC1,45.0,0.47,17.72,0.45,,0.7232,0.0525,0.0297,92.0
LC1,50.0,0.5,18.73,0.46,,0.6776,0.0567,0.0387,92.0
LC1,55.0,0.44,10.6,0.38,,0.643,0.0624,0.0336,92.0
LC1,60.0,0.68,11.85,0.55,,0.5558,0.0648,0.0664,80.0
LC1,65.0,0.59,13.85,0.43,,0.5447,0.0692,0.0484,92.0
LC1,70.0,0.77,11.48,0.57,,0.5238,0.0718,0.0971,92.0
LC2,45.0,0.27,7.48,0.36,,1.0496,0.0551,0.0217,130.0
LC2,50.0,0.45,24.61,0.4,,0.7109,0.0535,0.0244,130.0
LC2,55.0,0.78,74.11,0.39,70.36,0.709,0.06,0.0212,130.0
LC2,60.0,0.5,24.86,0.46,78.38,0.9262,0.0659,0.0347,130.0
LC2,65.0,0.54,32.86,0.51,,0.7542,0.0493,0.034,130.0
LC2,70.0,0.81,17.99,0.68,60.99,0.9387,0.0674,0.0386,130.0
