alpha,angle,lc,EA,IPF,EA_full,EA_norm,IPF_norm,J_cheb,scalarization
0.0,45.0,LC2,24.940662066141766,0.38602912425994873,36.33803515964084,0.038269103547359046,-0.009454466047718638,0.044346841863431505,chebyshev
0.1,51.85,LC2,31.707028177049423,0.4219510422812568,51.1221023135715,0.2074671718757618,0.0760739101932874,0.11713800895686823,chebyshev
0.2,51.85,LC2,31.707028177049423,0.4219510422812568,51.1221023135715,0.2074671718757618,0.0760739101932874,0.1837066764516127,chebyshev
0.30000000000000004,52.2,LC2,31.90541829003228,0.435393954316775,52.19783274332682,0.21242806570591405,0.10808084361111173,0.25534281333777564,chebyshev
0.4,62.2,LC2,38.46889230940077,0.5304512364996804,57.241099463568794,0.37655266484792493,0.33440770595082375,0.264079100513666,chebyshev
0.5,65.5,LC2,42.546447859870064,0.5815221435493894,63.730630026923286,0.4785150049478777,0.4560051036879365,0.27833642322891705,chebyshev
0.6000000000000001,66.55,LC2,45.43804136912028,0.6221812069416046,69.53675291273329,0.5508214731668216,0.5528123974786947,0.2717384250502454,chebyshev
0.7000000000000001,67.65,LC2,49.5743072297838,0.6553395324283176,76.36492072211371,0.6542519086835759,0.6317607914944899,0.23797215482729472,chebyshev
0.8,68.45,LC2,53.09921836853027,0.6953920788235135,81.52177174886067,0.7423949600540508,0.7271239971971104,0.19328427793020525,chebyshev
0.9,69.25,LC2,56.85155804951986,0.7346332569917043,86.6904173956977,0.8362250329955647,0.8205553737878185,0.12894963444725288,chebyshev
1.0,70.0,LC2,60.40926636589898,0.7688773572444916,91.46605767144098,0.9251882024340113,0.9020889458180701,0.0455780821367013,chebyshev
